ID;Area;Priorità;Dispositivo;Contesto;Rotta;Componente;Azione;Esito atteso;Esito;Difetto osservato;Riferimento;Verifica automatica
QA-023;Resa sul dispositivo;media;iPhone Safari 15.4-16.3;verticale;/;GuestRow;Guardare il ritratto di un relatore;Ritagliato a fiore, non un quadrato né un cerchio;;;regola 13;
QA-024;Resa sul dispositivo;media;iPhone Safari 15.4-16.3;verticale;/;Base;Guardare la linguetta e la barra del browser;"La favicon si legge; la barra è colorata come il sito (theme-color)";;;PR 19;
QA-025;Resa sul dispositivo;alta;iPhone recente (Safari 18+);verticale;/;Programme;Aprire l’indirizzo e guardare cosa è a schermo;Si apre sulla serata 81, la prima futura non annullata, non in cima all’archivio;;;regola 10;
QA-026;Resa sul dispositivo;alta;iPhone recente (Safari 18+);verticale;/;Programme;Un flick verso l’alto;"Lo snap aggancia la serata 82 intera; non resta a metà fra due scene";;;regola 1;
QA-027;Resa sul dispositivo;media;iPhone recente (Safari 18+);verticale;/;Programme;Trascinare lentamente fino a metà scena e rilasciare;Atterra su una sola scena e non oscilla fra le due;;;regola 1;
QA-028;Resa sul dispositivo;alta;iPhone recente (Safari 18+);verticale;/81;Scene;Leggere il titolo della serata;Intero, non tagliato dal bordo né coperto dalla pillola della navigazione;;;PR 18;
QA-029;Resa sul dispositivo;alta;iPhone recente (Safari 18+);verticale;/81;Scene;Guardare la fotografia;La capsula inclinata sta nella sua fascia e non copre titolo né occhiello;;;PR 18;
QA-030;Resa sul dispositivo;media;iPhone recente (Safari 18+);verticale;/81;Scene;Leggere la riga della sede;Nome del luogo sopra, via e città sotto, su due righe distinte;;;regola 19;
QA-031;Resa sul dispositivo;alta;iPhone recente (Safari 18+);verticale;/81;Scene;Leggere la nota sotto i bottoni;Leggibile per intero, non tagliata dalla barra della Timeline;;;PR 18;
QA-032;Resa sul dispositivo;alta;iPhone recente (Safari 18+);verticale;/80;Scene;Guardare la serata annullata;Titolo e data barrati, la parola «annullata» leggibile sopra il titolo;;;PR 3;
QA-033;Resa sul dispositivo;media;iPhone recente (Safari 18+);verticale;/78;Scene;Guardare la descrizione su schermo corto;La descrizione cede prima della fotografia, che resta sempre;;;PR 18;
QA-034;Resa sul dispositivo;alta;iPhone recente (Safari 18+);verticale;/81;Button;Toccare «Prenota il posto»;Si apre il modale con la spiegazione, non direttamente WhatsApp;;;PR 12;
QA-035;Resa sul dispositivo;alta;iPhone recente (Safari 18+);verticale;/81;Modal;Leggere il pannello aperto;"Il testo sta dentro il pannello; se è lungo scorre il pannello e non la pagina";;;vincoli-tecnici;
QA-036;Resa sul dispositivo;alta;iPhone recente (Safari 18+);verticale;/81;Modal;Toccare la X di chiusura;Si chiude e la pagina è rimasta sulla serata 81;;;PR 12;
QA-037;Resa sul dispositivo;media;iPhone recente (Safari 18+);verticale;/81;Modal;Toccare il fondo scuro fuori dal pannello;Si chiude;;;PR 12;
QA-038;Resa sul dispositivo;alta;iPhone recente (Safari 18+);verticale;/78;Modal;Toccare «Rivedi la serata»;Il pannello porta il titolo della serata e le righe dei materiali;;;PR 12;
QA-039;Resa sul dispositivo;alta;iPhone recente (Safari 18+);verticale;/;Timeline;Guardare la barra in basso;La pillola piena è la serata a schermo;;;PR 11;
QA-040;Resa sul dispositivo;alta;iPhone recente (Safari 18+);verticale;/;Timeline;Scorrere la barra di lato fino alla serata 78;La barra scorre, ogni tacca porta la sua data, nessuna è un segno nudo;;;regola 14;
QA-041;Resa sul dispositivo;alta;iPhone recente (Safari 18+);verticale;/;Timeline;Toccare la tacca della serata 78;La pagina atterra sulla 78 subito, senza attraversare le serate in mezzo;;;regola 15;
QA-042;Resa sul dispositivo;alta;iPhone recente (Safari 18+);verticale;/;Timeline;Misurare la pillola con un dito;"Almeno 44 px di altezza; toccandone una non si colpisce quella accanto";;;PR 18;
QA-043;Resa sul dispositivo;alta;iPhone recente (Safari 18+);verticale;/;SiteNav;Leggere il marchio nella pillola in alto;La scritta «in Periferia» c’è per intero e si legge;;;regola 7;
QA-044;Resa sul dispositivo;alta;iPhone recente (Safari 18+);verticale;/;SiteNav;Toccare la tendina;"Si apre e mostra le quattro voci; il pannello non esce dal bordo dello schermo";;;regola 18;
QA-045;Resa sul dispositivo;media;iPhone recente (Safari 18+);verticale;/;SiteNav;Provare a toccare «Rassegna stampa»;Non è toccabile e si vede che non lo è: nessun cambio di stato;;;regola 18;
QA-046;Resa sul dispositivo;alta;iPhone recente (Safari 18+);verticale;/;CycleAccents;Passare dalla serata 81 (verde) alla 83 (turchese);L’accento del sito cambia una volta sola, senza lampeggiare sui colori intermedi;;;regola 12;
QA-047;Resa sul dispositivo;media;iPhone recente (Safari 18+);verticale;/;GuestRow;Guardare il ritratto di un relatore;Ritagliato a fiore, non un quadrato né un cerchio;;;regola 13;
QA-048;Resa sul dispositivo;media;iPhone recente (Safari 18+);verticale;/;Base;Guardare la linguetta e la barra del browser;"La favicon si legge; la barra è colorata come il sito (theme-color)";;;PR 19;
QA-049;Resa sul dispositivo;alta;Android Chrome recente;verticale;/;Programme;Aprire l’indirizzo e guardare cosa è a schermo;Si apre sulla serata 81, non in cima all’archivio;OK;;regola 10;
QA-050;Resa sul dispositivo;alta;Android Chrome recente;verticale;/;Programme;Un flick verso l’alto;Lo snap aggancia la serata intera;OK;;regola 1;
QA-051;Resa sul dispositivo;alta;Android Chrome recente;verticale;/81;Scene;Guardare titolo, foto e nota insieme;Nessuno dei tre è tagliato o coperto;OK;;PR 18;
QA-052;Resa sul dispositivo;alta;Android Chrome recente;verticale;/81;Button;Toccare «Prenota il posto»;Si apre il modale;OK;;PR 12;
QA-053;Resa sul dispositivo;alta;Android Chrome recente;verticale;/81;Modal;Chiudere con la X;Si chiude e la pagina resta sulla serata 81;OK;;PR 12;
QA-054;Resa sul dispositivo;alta;Android Chrome recente;verticale;/;Timeline;Scorrere la barra fino alla 78 e toccarla;La barra scorre e la pagina atterra sulla 78;OK;;regola 14;
QA-055;Resa sul dispositivo;media;Android Chrome recente;verticale;/;SiteNav;Aprire la tendina;Si apre e mostra le quattro voci;OK;;regola 18;
QA-056;Resa sul dispositivo;alta;Android Chrome recente;verticale;/;SiteNav;Leggere il marchio;«in Periferia» c’è per intero;OK;;regola 7;
QA-057;Resa sul dispositivo;media;Android Chrome recente;verticale;/chi-siamo;pages.css;Scorrere la pagina fino in fondo;Nessuno scorrimento orizzontale, nessun blocco tagliato;OK;;PR 13;
QA-058;Resa sul dispositivo;media;Android Chrome recente;verticale;/78;Scene;Aprire «Rivedi la serata»;Il pannello porta le righe dei materiali;OK;;PR 12;
QA-059;Resa sul dispositivo;alta;Android di 4 anni (Chrome);verticale;/;Programme;Aprire l’indirizzo e guardare cosa è a schermo;Si apre sulla serata 81, non in cima all’archivio;OK;;regola 10;Provata su un Google Pixel (modello da registrare).
QA-060;Resa sul dispositivo;alta;Android di 4 anni (Chrome);verticale;/;Programme;Un flick verso l’alto;Lo snap aggancia la serata intera;OK;;regola 1;Provata su un Google Pixel (modello da registrare).
QA-061;Resa sul dispositivo;alta;Android di 4 anni (Chrome);verticale;/81;Scene;Guardare titolo, foto e nota insieme;Nessuno dei tre è tagliato o coperto;OK;;PR 18;Provata su un Google Pixel (modello da registrare).
QA-062;Resa sul dispositivo;alta;Android di 4 anni (Chrome);verticale;/81;Button;Toccare «Prenota il posto»;Si apre il modale;OK;;PR 12;Provata su un Google Pixel (modello da registrare).
QA-063;Resa sul dispositivo;alta;Android di 4 anni (Chrome);verticale;/81;Modal;Chiudere con la X;Si chiude e la pagina resta sulla serata 81;OK;;PR 12;Provata su un Google Pixel (modello da registrare).
QA-064;Resa sul dispositivo;alta;Android di 4 anni (Chrome);verticale;/;Timeline;Scorrere la barra fino alla 78 e toccarla;La barra scorre e la pagina atterra sulla 78;OK;;regola 14;Provata su un Google Pixel (modello da registrare).
QA-065;Resa sul dispositivo;media;Android di 4 anni (Chrome);verticale;/;SiteNav;Aprire la tendina;Si apre e mostra le quattro voci;OK;;regola 18;Provata su un Google Pixel (modello da registrare).
QA-066;Resa sul dispositivo;alta;Android di 4 anni (Chrome);verticale;/;SiteNav;Leggere il marchio;«in Periferia» c’è per intero;OK;;regola 7;Provata su un Google Pixel (modello da registrare).
QA-067;Resa sul dispositivo;media;Android di 4 anni (Chrome);verticale;/chi-siamo;pages.css;Scorrere la pagina fino in fondo;Nessuno scorrimento orizzontale, nessun blocco tagliato;OK;;PR 13;Provata su un Google Pixel (modello da registrare).
QA-068;Resa sul dispositivo;media;Android di 4 anni (Chrome);verticale;/78;Scene;Aprire «Rivedi la serata»;Il pannello porta le righe dei materiali;OK;;PR 12;Provata su un Google Pixel (modello da registrare).
QA-069;Soglia dei browser;alta;iPhone Safari 15.4-16.3;verticale;/;Programme;Guardare se il layout è quello del telefono o quello del desktop;Layout a una colonna: le media query si applicano, quindi il minificatore non ha riscritto la sintassi range;;;checkMediaRangeSyntax;
QA-070;Soglia dei browser;alta;iPhone Safari 15.4-16.3;verticale;/;Programme;Scorrere con la barra di Safari mostrata e poi ritratta;La scena resta alta quanto lo schermo e le posizioni di snap non saltano (svh, non dvh);;;regola 5;
QA-071;Soglia dei browser;alta;iPhone Safari 15.4-16.3;verticale;/81;Modal;Toccare «Prenota il posto»;"Il modale si apre; se <dialog> non c’è, al suo posto compare il link diretto e non un bottone morto";;;PR 12;
QA-072;Soglia dei browser;media;iPhone Safari 15.4-16.3;verticale;/;Timeline;Guardare lo sfondo della barra in basso;La barra è velata e leggibile: il -webkit-backdrop-filter è quello che risponde qui;;;Timeline.astro;
QA-073;Soglia dei browser;media;iPhone Safari 15.4-16.3;verticale;/;Scene;Scorrere venti serate di seguito;Nessuno scatto: senza content-visibility la pagina resta comunque fluida;;;Scene.astro;
QA-074;Soglia dei browser;media;iPhone Safari 15.4-16.3;verticale;/81;Scene;Guardare la descrizione tagliata a tre righe;Il taglio funziona e non lascia una riga a metà;;;Scene.astro;
QA-075;Soglia dei browser;alta;Android di 4 anni (Chrome);verticale;/;Programme;Scorrere dieci serate di seguito;Nessun rallentamento percepibile su un telefono di quattro anni;OK;;piano PR 19;Eseguita su un Google Pixel, modello ancora da registrare: le righe di questo gruppo sono scritte per un telefono di quattro anni, quindi finché il modello non è scritto questa resta una prova su un dispositivo vicino, non su quello richiesto.
QA-076;Orizzontale su telefono;alta;iPhone recente (Safari 18+);orizzontale;/81;Scene;Ruotare il telefono e guardare la scena;Titolo, data, sede, bottoni e nota sono tutti a schermo;;;piano PR 19;
QA-077;Orizzontale su telefono;alta;iPhone recente (Safari 18+);orizzontale;/81;Scene;Guardare la fotografia in orizzontale;La foto non schiaccia il testo né esce dalla sua fascia;;;piano PR 19;
QA-078;Orizzontale su telefono;alta;iPhone recente (Safari 18+);orizzontale;/;Timeline;Guardare la barra in basso in orizzontale;La barra non copre la nota né i bottoni della scena;;;piano PR 19;
QA-079;Orizzontale su telefono;alta;iPhone recente (Safari 18+);orizzontale;/;SiteNav;Guardare la pillola in alto in orizzontale;Non copre il titolo della serata;;;piano PR 19;
QA-080;Orizzontale su telefono;media;iPhone recente (Safari 18+);orizzontale;/78;Scene;Guardare la serata con i materiali in orizzontale;Il bottone «Rivedi la serata» è raggiungibile senza scorrere la scena;;;vincoli-tecnici;
QA-081;Orizzontale su telefono;media;iPhone recente (Safari 18+);orizzontale;/81;Modal;Aprire il modale in orizzontale;Il pannello sta nello schermo e la X non finisce fuori dal bordo;;;Modal.astro;
QA-082;Orizzontale su telefono;media;iPhone recente (Safari 18+);orizzontale;/chi-siamo;pages.css;Scorrere la pagina in orizzontale;Le colonne si ricompongono, niente scorrimento laterale;;;PR 13;
QA-083;Orizzontale su telefono;media;iPhone recente (Safari 18+);orizzontale;/;Programme;Ruotare mentre si è sulla serata 82;Dopo la rotazione si è ancora sulla 82 e non su un’altra;;;regola 1;
QA-084;Orizzontale su telefono;alta;Android Chrome recente;orizzontale;/81;Scene;Ruotare il telefono e guardare la scena;Titolo, data, sede, bottoni e nota sono tutti a schermo;No;E' tutto tagliato per ora. Ci interessa oppure e' out of scope?;piano PR 19;A 800x360 il riquadro del testo è alto 141 px e il suo contenuto ne chiede 314: 173 px vengono ritagliati e sono invisibili. Non è un problema di misure ma di composizione, come dice il piano.
QA-085;Orizzontale su telefono;alta;Android Chrome recente;orizzontale;/81;Scene;Guardare la fotografia in orizzontale;La foto non schiaccia il testo né esce dalla sua fascia;Ok;La foto e' minuscola;piano PR 19;Misurata: la cornice della foto è alta 51 px a 800x360, contro i 188 px a 375x812.
QA-086;Orizzontale su telefono;alta;Android Chrome recente;orizzontale;/;Timeline;Guardare la barra in basso in orizzontale;La barra non copre la nota né i bottoni della scena;OK;;piano PR 19;
QA-087;Orizzontale su telefono;alta;Android Chrome recente;orizzontale;/;SiteNav;Guardare la pillola in alto in orizzontale;Non copre il titolo della serata;OK;;piano PR 19;
QA-088;Orizzontale su telefono;media;Android Chrome recente;orizzontale;/78;Scene;Guardare la serata con i materiali in orizzontale;Il bottone «Rivedi la serata» è raggiungibile senza scorrere la scena;No;Il bottone non si vede;vincoli-tecnici;Il blocco dei bottoni cade 172 px oltre il bordo inferiore del riquadro di testo, cioè dentro la parte ritagliata.
QA-089;Orizzontale su telefono;media;Android Chrome recente;orizzontale;/81;Modal;Aprire il modale in orizzontale;Il pannello sta nello schermo e la X non finisce fuori dal bordo;No;Pannello del modale irrangiungibile;Modal.astro;Stessa causa di QA-088: il bottone che apre il modale sta fra i 172 px ritagliati, quindi il pannello non è raggiungibile perché non lo è il suo comando.
QA-090;Orizzontale su telefono;media;Android Chrome recente;orizzontale;/chi-siamo;pages.css;Scorrere la pagina in orizzontale;Le colonne si ricompongono, niente scorrimento laterale;OK;;PR 13;
QA-091;Orizzontale su telefono;media;Android Chrome recente;orizzontale;/;Programme;Ruotare mentre si è sulla serata 82;Dopo la rotazione si è ancora sulla 82 e non su un’altra;OK;;regola 1;
QA-092;Resa sul desktop;alta;Desktop Chrome (Windows);1280x800;/;Programme;Aprire l’indirizzo;Si apre sulla serata 81, già disegnata lì: nessun salto visibile dopo il primo disegno;OK;;Programme.astro;
QA-093;Resa sul desktop;alta;Desktop Chrome (Windows);1280x800;/;Programme;Un colpo di rotella;"Passa a una serata sola e aggancia; la rotella non spinge due scene in una volta";OK;;regola 1;
QA-094;Resa sul desktop;alta;Desktop Chrome (Windows);1280x800;/;Programme;Uno scorrimento con il trackpad a due dita;Aggancia senza combattere il gesto: nessun rimbalzo fra due scene;OK, ma il trackpad scorre piu' scene;;regola 1;
QA-095;Resa sul desktop;media;Desktop Chrome (Windows);1280x800;/;Programme;Passare la rotella sopra la pillola della navigazione;Il programma scorre lo stesso: la pillola non è una zona morta;OK;;SiteNav.astro;
QA-096;Resa sul desktop;media;Desktop Chrome (Windows);1280x800;/;Programme;Passare la rotella sopra la rotaia della Timeline;Il programma scorre lo stesso;OK;;Timeline.astro;
QA-097;Resa sul desktop;alta;Desktop Chrome (Windows);1280x800;/;Timeline;Guardare la rotaia a destra;"Tutte le serate hanno una tacca; le vicine portano la data, le lontane sono segni";OK;Abbiamo solo 5 serate, tutte con data;regola 14;
QA-098;Resa sul desktop;alta;Desktop Chrome (Windows);1280x800;/;Timeline;Cliccare la tacca della serata 78;Atterra sulla 78 subito e l’indirizzo diventa /78;OK;Diventa /78#serata-78;regola 16;
QA-099;Resa sul desktop;alta;Desktop Chrome (Windows);1280x800;/;Timeline;Cliccare due tacche lontane a due decimi di distanza;"Atterra sulla seconda; rotaia, accento e indirizzo dicono la stessa serata";OK;Manca l'animazione dello scorrimento;regola 15;
QA-100;Resa sul desktop;alta;Desktop Chrome (Windows);1280x800;/81;Scene;Leggere la scena intera;Il testo non passa sotto la rotaia della Timeline;OK;;Scene.astro;
QA-101;Resa sul desktop;alta;Desktop Chrome (Windows);1280x800;/81;Modal;Aprire «Prenota il posto» e chiudere con Esc;Si apre, Esc chiude, il fuoco torna sul bottone;OK;;PR 12;
QA-102;Resa sul desktop;media;Desktop Chrome (Windows);1280x800;/81;Modal;Guardare il bordo superiore del pannello;È del colore del ciclo della serata da cui è stato aperto, non arancio;OK;;regola 12;
QA-103;Resa sul desktop;alta;Desktop Chrome (Windows);1280x800;/;SiteNav;Guardare la riga delle voci;"Quattro voci in riga; la voce della pagina corrente è evidenziata";OK;;regola 18;
QA-104;Resa sul desktop;alta;Desktop Chrome (Windows);1280x800;/;CycleAccents;Scorrere dalla 81 alla 83;L’accento della rotaia e della navigazione segue la serata a schermo;OK;;regola 12;
QA-105;Resa sul desktop;alta;Desktop Chrome (Windows);1280x800;/;Programme;Scorrere di dieci serate e premere il tasto indietro;Si esce dal sito: la cronologia non ha una voce per serata attraversata;No;Si torna al link /x precedente;regola 16;Confermato: il click su una tacca aggiunge una voce di cronologia — history.length passa da 2 a 3. È il difetto ereditato dalla PR 18, già scritto nel verbale.
QA-106;Resa sul desktop;alta;Desktop Chrome (Windows);1280x800;/;Programme;Ricaricare mentre si è a metà archivio;La pagina torna dove era o sulla serata dell’indirizzo: il ripristino del browser e il salto dello script non litigano;OK;;piano PR 19;
QA-107;Resa sul desktop;media;Desktop Chrome (Windows);1280x800;/81;Scene;Selezionare e copiare due righe della descrizione;La selezione funziona e non fa scorrere la scena;OK;;piano PR 19;
QA-108;Resa sul desktop;media;Desktop Chrome (Windows);1280x800;/componenti;Rassegna;Scorrere la rassegna dei componenti;Ogni componente rende in tutte le sue varianti;OK;Ok, ma non deve esserci in prod;PR 6;
QA-109;Resa sul desktop;alta;Desktop Firefox (Windows);1280x800;/;Programme;Aprire l’indirizzo;Si apre sulla serata 81, già disegnata lì: nessun salto visibile dopo il primo disegno;OK;;Programme.astro;Gecko 153: si apre sulla serata 81 con scrollTop 1600 su scene da 800 px, cioè esattamente sulla terza
QA-110;Resa sul desktop;alta;Desktop Firefox (Windows);1280x800;/;Programme;Un colpo di rotella;"Passa a una serata sola e aggancia; la rotella non spinge due scene in una volta";No, da confermare a mano;Un evento di rotella porta dalla 81 alla 83: salta una serata;regola 1;"Provato con tre ampiezze diverse — 40, 57 e 114 px — e tutte e tre atterrano sulla 83. Il gesto è sintetico, quindi va confermato con una rotella vera; ma va nella stessa direzione del «il trackpad scorre più scene» annotato su Chrome in QA-094"
QA-111;Resa sul desktop;alta;Desktop Firefox (Windows);1280x800;/;Programme;Uno scorrimento con il trackpad a due dita;Aggancia senza combattere il gesto: nessun rimbalzo fra due scene;OK;;regola 1;Tre spinte brevi da 120 px di seguito: si ferma agganciata, scrollTop multiplo esatto dell’altezza di scena
QA-112;Resa sul desktop;media;Desktop Firefox (Windows);1280x800;/;Programme;Passare la rotella sopra la pillola della navigazione;Il programma scorre lo stesso: la pillola non è una zona morta;OK;;SiteNav.astro;Rotella a x=640 y=30, sopra la pillola della navigazione: il programma scorre
QA-113;Resa sul desktop;media;Desktop Firefox (Windows);1280x800;/;Programme;Passare la rotella sopra la rotaia della Timeline;Il programma scorre lo stesso;No;La rotella sopra una tacca della rotaia non muove il programma. Fra una tacca e l’altra invece scorre;Timeline.astro;Misurato ai due punti: sopra la tacca corrente lo scrollTop non cambia, sulla rotaia a y=80 cambia. La causa è nel CSS: la colonna ha pointer-events: none e le tacche lo rimettono a auto, così una tacca cattura la rotella e cerca un antenato scrollabile — la rotaia non scorre in verticale, e il documento è alto uno schermo. È la trappola che il commento di Timeline.astro descrive, non richiusa per le tacche
QA-114;Resa sul desktop;alta;Desktop Firefox (Windows);1280x800;/;Timeline;Guardare la rotaia a destra;"Tutte le serate hanno una tacca; le vicine portano la data, le lontane sono segni";OK;;regola 14;Cinque tacche, tutte con la data, una sola con aria-current, rotaia verticale a destra
QA-115;Resa sul desktop;alta;Desktop Firefox (Windows);1280x800;/;Timeline;Cliccare la tacca della serata 78;Atterra sulla 78 subito e l’indirizzo diventa /78;OK;;regola 16;Atterra sulla 78, indirizzo /78#serata-78, accento del ciclo 2
QA-116;Resa sul desktop;alta;Desktop Firefox (Windows);1280x800;/;Timeline;Cliccare due tacche lontane a due decimi di distanza;"Atterra sulla seconda; rotaia, accento e indirizzo dicono la stessa serata";OK;;regola 15;Due click a due decimi di distanza: scena 83, indirizzo /83, accento 6, tacca corrente all’indice 4 — le quattro cose concordano
QA-117;Resa sul desktop;alta;Desktop Firefox (Windows);1280x800;/81;Scene;Leggere la scena intera;Il testo non passa sotto la rotaia della Timeline;OK;;Scene.astro;"Sotto la rotaia passa solo la cornice della fotografia; nessuna parte di testo — vedi QA-238 per la foto"
QA-118;Resa sul desktop;alta;Desktop Firefox (Windows);1280x800;/81;Modal;Aprire «Prenota il posto» e chiudere con Esc;Si apre, Esc chiude, il fuoco torna sul bottone;OK;;PR 12;Si apre, Esc chiude, il fuoco torna sul bottone che lo ha aperto
QA-119;Resa sul desktop;media;Desktop Firefox (Windows);1280x800;/81;Modal;Guardare il bordo superiore del pannello;È del colore del ciclo della serata da cui è stato aperto, non arancio;OK;;regola 12;"Il pannello prende data-cycle=""3"" e il bordo superiore è rgb(59, 170, 115), il verde del ciclo"
QA-120;Resa sul desktop;alta;Desktop Firefox (Windows);1280x800;/;SiteNav;Guardare la riga delle voci;"Quattro voci in riga; la voce della pagina corrente è evidenziata";OK;;regola 18;"Quattro voci in riga con la tendina a display:none; su /chi-siamo è evidenziata «Chi siamo»"
QA-121;Resa sul desktop;alta;Desktop Firefox (Windows);1280x800;/;CycleAccents;Scorrere dalla 81 alla 83;L’accento della rotaia e della navigazione segue la serata a schermo;OK;;regola 12;Scorrendo dalla 81 alla 83 l’accento del documento passa da 3 a 6
QA-122;Resa sul desktop;alta;Desktop Firefox (Windows);1280x800;/;Programme;Scorrere di dieci serate e premere il tasto indietro;Si esce dal sito: la cronologia non ha una voce per serata attraversata;OK;;regola 16;In una scheda pulita, quattro serate scorse: la cronologia resta a una voce sola e l’indirizzo arriva a /83. Lo scorrimento non impila, come vuole la regola 16
QA-123;Resa sul desktop;alta;Desktop Firefox (Windows);1280x800;/;Programme;Ricaricare mentre si è a metà archivio;La pagina torna dove era o sulla serata dell’indirizzo: il ripristino del browser e il salto dello script non litigano;OK;;piano PR 19;Ricaricando su /83 si torna sulla 83
QA-124;Resa sul desktop;media;Desktop Firefox (Windows);1280x800;/81;Scene;Selezionare e copiare due righe della descrizione;La selezione funziona e non fa scorrere la scena;OK;;piano PR 19;"La descrizione ha 217 caratteri e la selezione li restituisce tutti (user-select: auto); la scena non si muove"
QA-125;Resa sul desktop;media;Desktop Firefox (Windows);1280x800;/componenti;Rassegna;Scorrere la rassegna dei componenti;Ogni componente rende in tutte le sue varianti;OK;;PR 6;Nove sezioni rese, nessuna vuota, nessuno scorrimento orizzontale
QA-126;Resa sul desktop;alta;Desktop Safari (macOS);1280x800;/;Programme;Aprire l’indirizzo;Si apre sulla serata 81, già disegnata lì: nessun salto visibile dopo il primo disegno;;;Programme.astro;
QA-127;Resa sul desktop;alta;Desktop Safari (macOS);1280x800;/;Programme;Un colpo di rotella;"Passa a una serata sola e aggancia; la rotella non spinge due scene in una volta";;;regola 1;
QA-128;Resa sul desktop;alta;Desktop Safari (macOS);1280x800;/;Programme;Uno scorrimento con il trackpad a due dita;Aggancia senza combattere il gesto: nessun rimbalzo fra due scene;;;regola 1;
QA-129;Resa sul desktop;media;Desktop Safari (macOS);1280x800;/;Programme;Passare la rotella sopra la pillola della navigazione;Il programma scorre lo stesso: la pillola non è una zona morta;;;SiteNav.astro;
